genes troughs peaks
unknown_265 ZT4 ZT12
AT5G25130 ZT8 ZT0
AT5G25140 ZT8 ZT0
unknown_267 ZT4 ZT0
AT5G04820 ZT0 ZT8
AT5G04850 ZT4 ZT12
AT5G24690 ZT8 ZT0
AT5G24800 ZT12 ZT0
AT5G24840 ZT20 ZT8
AT5G24850 ZT8 ZT0
AT5G24870 ZT8 ZT0
unknown_269 ZT4 ZT12
AT5G24890 ZT4 ZT0
AT5G24930 ZT12 ZT0
unknown_270 ZT0 ZT12
unknown_271 ZT12 ZT0
AT5G67280 ZT0 ZT4
AT5G67340 ZT0 ZT8
AT5G67350 ZT8 ZT0
AT5G67450 ZT0 ZT12
AT5G67420 ZT12 ZT0
AT5G67390 ZT16 ZT4
AT5G67370 ZT8 ZT0
AT5G67440 ZT12 ZT0
AT5G67380 ZT12 ZT0
AT5G67520 ZT12 ZT4
AT5G67490 ZT4 ZT16
AT5G67500 ZT0 ZT12
AT5G67560 ZT20 ZT8
AT5G67480 ZT4 ZT16
AT5G66960 ZT20 ZT8
AT5G67030 ZT16 ZT4
AT5G67190 ZT8 ZT0
AT5G67250 ZT8 ZT0
AT5G67260 ZT12 ZT4
AT5G67070 ZT0 ZT12
AT5G67270 ZT0 ZT8
AT5G67180 ZT0 ZT4
AT5G67220 ZT8 ZT0
AT5G66880 ZT0 ZT8
AT5G66930 ZT12 ZT20
AT5G66540 ZT20 ZT4
AT5G66440 ZT4 ZT0
AT5G66730 ZT8 ZT0
AT5G66740 ZT12 ZT4
AT5G66770 ZT8 ZT0
AT5G66810 ZT12 ZT20
unknown_272 ZT4 ZT20
AT5G66950 ZT4 ZT12
AT5G66920 ZT8 ZT0
AT5G66490 ZT4 ZT0
AT5G66590 ZT12 ZT0
AT5G66410 ZT0 ZT4
AT5G66420 ZT0 ZT12
AT5G66030 ZT4 ZT20
AT5G66290 ZT8 ZT0
AT5G66320 ZT4 ZT12
AT5G66380 ZT4 ZT0
AT5G66400 ZT16 ZT8
AT5G66470 ZT0 ZT12
AT5G66500 ZT4 ZT12
AT5G66520 ZT4 ZT20
AT5G66530 ZT4 ZT12
AT5G66240 ZT8 ZT0
AT5G66160 ZT4 ZT0
AT5G65880 ZT20 ZT8
AT5G65950 ZT4 ZT0
AT5G65960 ZT4 ZT20
AT5G65970 ZT8 ZT0
AT5G65940 ZT4 ZT0
AT5G65890 ZT20 ZT4
AT5G65900 ZT20 ZT4
AT5G66010 ZT4 ZT12
AT5G66070 ZT20 ZT8
AT5G66110 ZT12 ZT0
AT5G66180 ZT4 ZT0
AT5G66190 ZT8 ZT20
AT5G66170 ZT12 ZT4
AT5G66210 ZT4 ZT16
AT5G66250 ZT4 ZT0
AT5G65570 ZT0 ZT8
AT5G65630 ZT0 ZT12
AT5G65670 ZT4 ZT12
AT5G65660 ZT12 ZT0
AT5G65640 ZT0 ZT16
AT5G65700 ZT8 ZT0
AT5G65750 ZT4 ZT16
AT5G65780 ZT0 ZT4
AT5G65730 ZT12 ZT0
AT5G65720 ZT12 ZT4
AT5G65840 ZT16 ZT4
AT5G65860 ZT20 ZT4
AT5G65520 ZT8 ZT0
AT5G65110 ZT4 ZT20
AT5G65205 ZT4 ZT12
AT5G65450 ZT12 ZT16
AT5G65430 ZT8 ZT0
AT5G65420 ZT0 ZT12
AT5G65310 ZT0 ZT8
AT5G65360 ZT0 ZT12
AT5G65380 ZT8 ZT0
AT5G65480 ZT16 ZT4
AT5G65120 ZT20 ZT4
AT5G65000 ZT4 ZT20
AT5G65020 ZT0 ZT8
AT5G65040 ZT4 ZT20
AT5G64900 ZT4 ZT12
AT5G64850 ZT12 ZT0
AT5G64860 ZT0 ZT8
unknown_275 ZT4 ZT20
AT5G65010 ZT8 ZT16
AT5G64920 ZT8 ZT0
AT5G64813 ZT12 ZT0
AT5G64840 ZT16 ZT0
AT5G65090 ZT20 ZT12
AT5G65140 ZT0 ZT4
AT5G64940 ZT12 ZT0
AT5G64980 ZT0 ZT12
AT5G64580 ZT0 ZT8
AT5G64640 ZT0 ZT8
AT5G64560 ZT0 ZT16
AT5G64670 ZT0 ZT12
AT5G64770 ZT0 ZT4
AT5G64800 ZT0 ZT12
AT5G64780 ZT8 ZT20
AT5G64816 ZT0 ZT12
AT5G64930 ZT8 ZT0
AT5G64500 ZT4 ZT0
AT5G64460 ZT8 ZT0
AT5G64440 ZT12 ZT16
AT5G64470 ZT4 ZT20
unknown_276 ZT0 ZT12
AT5G64570 ZT4 ZT20
AT5G64140 ZT20 ZT8
AT5G64080 ZT20 ZT4
AT5G64300 ZT4 ZT0
unknown_277 ZT4 ZT20
AT5G64370 ZT0 ZT12
AT5G64380 ZT12 ZT20
AT5G64310 ZT4 ZT12
AT5G64350 ZT0 ZT12
AT5G64240 ZT16 ZT0
AT5G64410 ZT8 ZT0
AT5G64400 ZT0 ZT12
AT5G64280 ZT4 ZT20
AT5G64330 ZT0 ZT8
AT5G64290 ZT8 ZT16
AT5G64510 ZT20 ZT12
AT5G64180 ZT20 ZT8
AT5G64100 ZT16 ZT4
AT5G63880 ZT0 ZT8
AT5G63850 ZT8 ZT0
AT5G63905 ZT12 ZT16
AT5G63860 ZT0 ZT12
AT5G63930 ZT12 ZT20
AT5G63940 ZT8 ZT20
unknown_279 ZT0 ZT8
AT5G63980 ZT0 ZT12
AT5G63990 ZT0 ZT8
AT5G64040 ZT16 ZT4
AT5G64170 ZT16 ZT4
AT5G64190 ZT12 ZT4
AT5G64130 ZT4 ZT16
AT5G64150 ZT20 ZT12
AT5G63700 ZT12 ZT4
AT5G63780 ZT0 ZT8
AT5G63810 ZT4 ZT8
AT5G63830 ZT20 ZT4
